Trial,Condition,Steps-to-Share,Time-to-Share (sec),Time-to-First-Run (sec),Time-to-Reproduce (sec),Handoff Success
1,Manual,8,115,36,167,Yes
2,Manual,8,110,62,140,Yes
3,Manual,8,132,60,121,Yes
4,Manual,8,106,52,97,Yes
5,Manual,8,69,50,86,Yes
6,Manual,8,123,33,162,Yes
7,Manual,8,112,70,145,Yes
8,Manual,8,139,59,119,Yes
9,Manual,8,106,54,102,Yes
10,Manual,8,65,50,84,Yes
1,Platform,1,57,70,80,Yes
2,Platform,1,59,39,47,Yes
3,Platform,1,29,60,77,Yes
4,Platform,1,24,55,63,Yes
5,Platform,1,15,58,65,Yes
6,Platform,1,58,73,82,Yes
7,Platform,1,57,37,46,Yes
8,Platform,1,32,63,78,Yes
9,Platform,1,25,54,59,Yes
10,Platform,1,18,56,65,Yes
